timeseries;Species;PEP_ID;YEAR;GST;RD_summer;cGSI;cA_tot
1_Fagus sylvatica;Fagus sylvatica;1;2076;15.6964;35;105.3339908;3926.001717
1_Fagus sylvatica;Fagus sylvatica;1;2077;18.1077;24;105.4281349;5003.562977
1_Fagus sylvatica;Fagus sylvatica;1;2078;15.31009;35;104.5051504;3855.613922
1_Fagus sylvatica;Fagus sylvatica;1;2079;15.76947;35;101.4295366;3886.121561
1_Fagus sylvatica;Fagus sylvatica;1;2080;15.81508;32;105.5968068;3932.930156
1_Fagus sylvatica;Fagus sylvatica;1;2081;17.40877;23;105.0324617;4472.44946
1_Fagus sylvatica;Fagus sylvatica;1;2082;17.663;24;110.468962;5090.738395
1_Fagus sylvatica;Fagus sylvatica;1;2083;17.15557;26;108.7420454;4664.50399
1_Fagus sylvatica;Fagus sylvatica;1;2084;16.92385;38;104.7460945;4160.950571
1_Fagus sylvatica;Fagus sylvatica;1;2085;16.53241;33;111.2793971;4621.844819
1_Fagus sylvatica;Fagus sylvatica;1;2086;15.90516;32;99.22214924;3679.929875
1_Fagus sylvatica;Fagus sylvatica;1;2087;17.60727;39;106.0759652;4454.222981
1_Fagus sylvatica;Fagus sylvatica;1;2088;15.25484;35;102.0648912;3868.558803
1_Fagus sylvatica;Fagus sylvatica;1;2089;16.34161;38;109.1127646;3949.085571
1_Fagus sylvatica;Fagus sylvatica;1;2090;18.429;23;110.422445;5025.187507
1_Fagus sylvatica;Fagus sylvatica;1;2091;18.90341;19;101.8059661;5146.043173
1_Fagus sylvatica;Fagus sylvatica;1;2092;16.25036;61;107.7661901;3951.49942
1_Fagus sylvatica;Fagus sylvatica;1;2093;17.3148;34;106.4941958;4446.304601
1_Fagus sylvatica;Fagus sylvatica;1;2094;15.93144;38;102.8158471;3923.274804
1_Fagus sylvatica;Fagus sylvatica;1;2095;17.83074;38;102.650859;4384.068082
1_Fagus sylvatica;Fagus sylvatica;1;2096;18.26924;27;110.1180375;5246.741291
1_Fagus sylvatica;Fagus sylvatica;1;2097;18.58161;20;107.6985139;4715.883625
1_Fagus sylvatica;Fagus sylvatica;1;2098;17.97175;38;104.9886654;4154.437928
1_Fagus sylvatica;Fagus sylvatica;1;2099;16.71415;34;109.7412653;4446.431171
1_Fagus sylvatica;Fagus sylvatica;1;2100;17.03161;33;110.5951382;4711.821204
1_Quercus robur;Quercus robur;1;2016;14.59612;45;91.88130907;3281.347993
1_Quercus robur;Quercus robur;1;2017;15.34544;34;86.35924083;3631.280324
1_Quercus robur;Quercus robur;1;2018;15.29647;37;99.06279679;3893.805693
1_Quercus robur;Quercus robur;1;2019;14.28879;50;99.38515018;3437.269606
1_Quercus robur;Quercus robur;1;2020;16.19378;21;96.68703182;4443.497111
1_Quercus robur;Quercus robur;1;2021;14.63049;41;105.105313;3988.065384
1_Quercus robur;Quercus robur;1;2022;14.85548;31;94.83154967;3828.541785
1_Quercus robur;Quercus robur;1;2023;15.58103;35;95.84861291;4269.06819
1_Quercus robur;Quercus robur;1;2024;16.40531;26;96.20138874;4107.363608
1_Quercus robur;Quercus robur;1;2025;15.60081;46;98.61705248;3823.612079
1_Quercus robur;Quercus robur;1;2026;16.638;33;101.595235;4212.393392
1_Quercus robur;Quercus robur;1;2027;14.56107;41;86.66039978;2965.292486
1_Quercus robur;Quercus robur;1;2028;16.62577;29;97.83071048;4584.301106
1_Quercus robur;Quercus robur;1;2029;15.79894;35;93.84808564;3706.817822
1_Quercus robur;Quercus robur;1;2030;15.31693;24;86.16865267;3399.183203
