"timeseries";"PEP_ID";"LON";"LAT";"Species";"YEAR";"DoY_off";"DoY_out";"autumn_anomaly";"spring_anomaly";"temp_GS";"temp_aut2";"temp_aut3";"RD";"RD_summer";"HRD";"HD35";"FD";"CO2";"ci";"VPD";"FD_spring";"cGSI";"cA_tot-w";"cA_tot"
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1991;280;154;1.375;23;18.08616855;10.1076875;10.166;87;11;52;1e-05;1e-05;4277.828484;1768.535158;2.011217745;1e-05;132.8910655;1356.21991;1340.476197
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1992;291;116;12.375;-15;19.6973;10.07081;10.04533;59;9;31;1e-05;1e-05;4286.600775;2491.948627;2.873543333;1e-05;139.6572;1508.011981;1376.092857
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1993;280;131;1.375;0;16.811078;8.7355;8.702333333;89;18;52;1e-05;1e-05;4294.65525;2134.739644;2.143898084;1e-05;141.718902;1481.456108;1482.211599
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1995;299;114;20.375;-17;18.24593;10.583915;10.52033;69;14;39;1e-05;1e-05;4337.94385;2520.70695;2.909739159;1e-05;133.1156;1370.92741;1206.477796
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1996;276;121;-2.625;-10;16.90903132;8.414229188;8.391;59;5;39;1e-05;1e-05;4360.890256;2168.301264;2.300242205;1e-05;133.7048556;1375.411288;1313.740203
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1997;277;125;-1.625;-6;19.92229461;9.9000625;9.968333333;67;8;44;1e-05;1e-05;4374.9795;2173.590645;2.775959633;1e-05;140.5001211;1447.447667;1335.491056
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1998;289;134;10.375;3;17.27968;10.89004;10.93333;104;12;51;1e-05;1e-05;4407.317129;2192.009893;2.096784424;1e-05;140.9832;1397.044755;1412.984072
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1999;286;126;7.375;-5;19.10719;12.592205;12.77133;97;13;45;1e-05;1e-05;4431.92623;2201.600467;2.661816913;1e-05;144.3658;1495.370179;1445.750491
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1954;290;130;11.23529;0.4411765;17.74995;9.425083;9.364;84;16;54;1e-05;1e-05;3773.633181;1876.319558;2.332683387;1e-05;122.4763;1205.420736;1232.526845
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1955;293;136;14.23529;6.441176;20.25908;10.82627;10.836;56;14;36;1e-05;1e-05;3777.82049;1878.444257;2.634595439;1e-05;118.1074;1051.848072;1057.346128
